!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               26                7               60             0.00             0.00
               26                8               60             0.00             0.00
               26                9               60             0.00             0.00
               26               10               60             0.00             0.00
               26               11               60             0.00             0.00
               26               12               60             0.00             0.00
               26                1               60             0.00             0.00
               26                2               60             0.00             0.00
               26                3               60             0.00             0.00
               27                4               60             0.00            28.44
               27                5               60             0.00            28.44
               27                6               60             0.00            28.44
               27                7               60             0.00            28.44
               27                8               60             2.86            28.44
               27                9               60             4.14            25.58
               27               10               60             4.29            21.44
               27               11               60             4.00            17.15
               27               12               60             3.72            13.15
               27                1               60             3.43             9.43
               27                2               60             3.14             6.00
               27                3               60             2.86             2.86
               28                4               60             0.00             5.20
               28                5               60             0.00             5.20
               28                6               60             0.00             5.20
               28                7               60             0.00             5.20
               28                8               60             1.10             5.20
               28                9               60             1.46             4.09
               28               10               60             1.35             2.64
               28               11               60             0.74             1.29
               28               12               60             0.00             0.55
               28                1               60             0.55             0.55
               28                2               60             0.00             0.00
               28                3               60             0.00             0.00
               29                4               60             0.00            16.60
               29                5               60             0.00            16.60
               29                6               60             0.00            16.60
               29                7               60             0.00            16.60
               29                8               60             0.00            16.60
               29                9               60             0.39            16.60
               29               10               60             3.43            16.21
               29               11               60             4.25            12.78
               29               12               60             3.49             8.52
               29                1               60             2.66             5.04
               29                2               60             0.70             2.37
               29                3               60             1.67             1.67
               30                4               60             0.00            95.57
               30                5               60             3.61            95.57
               30                6               60             7.64            91.96
               30                7               60             9.73            84.33
               30                8               60             0.00            74.60
               30                9               60             0.00            74.60
               30               10               60            14.36            74.60
               30               11               60            21.54            60.24
